bulan,kecamatan,kelurahan,lama_genangan,rw_terdampak,kk_terdampak,jiwa_terdampak,korban_meninggal,korban_hilang,korban_luka_berat,korban_luka_ringan,jumlah_jiwa_pengungsi_tertinggi,jumlah_tempat_pengungsian,jumlah_nilai_kerugian,rata_rata_ketinggian_air_min,rata_rata_ketinggian_air_max
2018-02,15.0,34.0,8.0,207.0,19177.0,46865.0,0.0,0.0,0.0,0.0,740.0,21.0,0,10,175
2018-03,5.0,9.0,2.0,68.0,9215.0,27020.0,0.0,0.0,0.0,0.0,2406.0,34.0,0,10,250
2018-04,10.0,16.0,4.0,66.0,6004.0,15060.0,0.0,0.0,0.0,0.0,318.0,7.0,0,10,100
2018-05,10.0,16.0,3.0,139.0,4740.0,18481.0,0.0,0.0,0.0,0.0,1245.0,42.0,0,0,160
2018-06,3.0,4.0,7.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,150
2018-07,6.0,10.0,4.0,56.0,8270.0,22537.0,0.0,0.0,0.0,0.0,443.0,8.0,0,10,180
2018-08,7.0,12.0,3.0,55.0,11735.0,32427.0,0.0,0.0,0.0,0.0,536.0,12.0,0,20,300
2018-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,300
2018-10,5.0,5.0,3.0,16.0,1969.0,5420.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,100
2018-11,9.0,16.0,6.0,87.0,6491.0,18367.0,2.0,0.0,0.0,0.0,86.0,8.0,0,10,100
2018-12,11.0,17.0,4.0,78.0,4584.0,13814.0,0.0,0.0,0.0,0.0,1585.0,3.0,0,10,200
2019-01,35.0,124.0,15.0,2414.0,506164.0,1226487.0,38.0,0.0,0.0,0.0,83554.0,1115.0,0,10,400
2019-02,15.0,34.0,8.0,207.0,19177.0,46865.0,0.0,0.0,0.0,0.0,740.0,21.0,0,10,175
2019-03,5.0,9.0,2.0,68.0,9215.0,27020.0,0.0,0.0,0.0,0.0,2406.0,34.0,0,10,250
2019-04,10.0,16.0,4.0,66.0,6004.0,15060.0,0.0,0.0,0.0,0.0,318.0,7.0,0,10,100
2019-05,10.0,16.0,3.0,139.0,4740.0,18481.0,0.0,0.0,0.0,0.0,1245.0,42.0,0,0,160
2019-06,3.0,4.0,7.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,150
2019-07,6.0,10.0,4.0,56.0,8270.0,22537.0,0.0,0.0,0.0,0.0,443.0,8.0,0,10,180
2019-08,7.0,12.0,3.0,55.0,11735.0,32427.0,0.0,0.0,0.0,0.0,536.0,12.0,0,20,300
2019-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,300
2019-10,5.0,5.0,3.0,16.0,1969.0,5420.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,100
2019-11,9.0,16.0,6.0,87.0,6491.0,18367.0,2.0,0.0,0.0,0.0,86.0,8.0,0,10,100
2019-12,11.0,17.0,4.0,78.0,4584.0,13814.0,0.0,0.0,0.0,0.0,1585.0,3.0,0,10,200
2020-01,35.0,124.0,15.0,2414.0,506164.0,1226487.0,38.0,0.0,0.0,0.0,83554.0,1115.0,0,10,400
2020-02,15.0,34.0,8.0,207.0,19177.0,46865.0,0.0,0.0,0.0,0.0,740.0,21.0,0,10,175
2020-03,5.0,9.0,2.0,68.0,9215.0,27020.0,0.0,0.0,0.0,0.0,2406.0,34.0,0,10,250
2020-04,10.0,16.0,4.0,66.0,6004.0,15060.0,0.0,0.0,0.0,0.0,318.0,7.0,0,10,100
2020-05,10.0,16.0,3.0,139.0,4740.0,18481.0,0.0,0.0,0.0,0.0,1245.0,42.0,0,0,160
2020-06,3.0,4.0,7.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,150
2020-07,6.0,10.0,4.0,56.0,8270.0,22537.0,0.0,0.0,0.0,0.0,443.0,8.0,0,10,180
2020-08,7.0,12.0,3.0,55.0,11735.0,32427.0,0.0,0.0,0.0,0.0,536.0,12.0,0,20,300
2020-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,300
2020-10,5.0,5.0,3.0,16.0,1969.0,5420.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,100
2020-11,9.0,16.0,6.0,87.0,6491.0,18367.0,2.0,0.0,0.0,0.0,86.0,8.0,0,10,100
2020-12,11.0,17.0,4.0,78.0,4584.0,13814.0,0.0,0.0,0.0,0.0,1585.0,3.0,0,10,200
